depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr,poreice_CT_hr,totalice_CT_hr,organic_CT_hr,mineral_CT_hr
20.3,0.727,57.455,25.145,16.673,24.367241887110765,81.82224188711076,4.826525486519173,12.624232626370059
20.305,0.73,57.373,25.123,16.774,24.396132589659715,81.7691325896597,4.83094750945879,12.669919900881496
20.31,0.722,57.32,25.086,16.873,24.413938975535434,81.73393897553544,4.833084611393361,12.711976413071202
20.315,0.716,57.219,25.158,16.907,24.47774283496596,81.69674283496596,4.845877123809243,12.741380041224797
20.32,0.726,57.088,25.223,16.963,24.546336045941516,81.63433604594152,4.859318538410565,12.78034541564792
20.325,0.726,56.939,25.269,17.066,24.622405954632313,81.5614059546323,4.873570349390764,12.83902369597692
20.33,0.743,56.776,25.318,17.162,24.69747823356133,81.47347823356134,4.887725693843354,12.894796072595316
20.335,0.762,56.618,25.383,17.237,24.774324872757447,81.39232487275746,4.902588130585728,12.943086996656822
20.34,0.78,56.444,25.443,17.334,24.857322934799306,81.30132293479932,4.918384181477149,13.001292883723544
20.345,0.805,56.159,25.612,17.424,25.011513146016632,81.17051314601663,4.949173499912035,13.075313354071332
20.35,0.815,55.86,25.852,17.473,25.19624685909085,81.05624685909085,4.987003676855798,13.141749464053351
20.355,0.825,55.689,25.955,17.531,25.291588206697714,80.98058820669772,5.006004200043625,13.188407593258656
20.36,0.835,55.504,25.995,17.665,25.37703802121469,80.88103802121469,5.021720384942094,13.261241593843213
20.365,0.836,55.294,26.047,17.822,25.480651255592363,80.77465125559236,5.040865026319256,13.34748371808838
20.37,0.826,55.074,26.097,18.002,25.592893410725797,80.66689341072579,5.061445140429877,13.444661448844325
20.375,0.822,54.95,26.053,18.174,25.637643087054382,80.58764308705439,5.068045467139028,13.521311445806589
20.38,0.804,54.925,25.899,18.372,25.61877300677771,80.54377300677771,5.060931192463961,13.591295800758328
20.385,0.798,54.918,25.776,18.509,25.594517183164335,80.51251718316433,5.053667724245612,13.636815092590052
20.39,0.803,54.945,25.637,18.615,25.54589866941705,80.49089866941705,5.041808050509335,13.664293280073615
20.395,0.811,54.957,25.496,18.735,25.50199955779474,80.45899955779474,5.030710733755491,13.698289708449767
20.4,0.829,54.975,25.353,18.843,25.451525683364004,80.426525683364,5.01843121737001,13.726043099265986
20.405,0.842,54.942,25.297,18.919,25.446401399826577,80.38840139982658,5.0161433709532695,13.753455229220155
20.41,0.853,54.9,25.271,18.976,25.45345475757913,80.35345475757913,5.016705181849556,13.776840060571313
20.415,0.857,54.872,25.282,18.988,25.46615884124072,80.33815884124073,5.019168585317416,13.784672573441863
