id,lat,lon,depth,thickness,totalice_lab,organic_lab,mineral_lab,gas_CT,excessice_CT,phaseA_CT,phaseB_CT,poreice_CT,totalice_CT,organic_CT,mineral_CT
KUR17-C001_37,72.36613,126.27272,82.8,2.04,68.39,8.91,22.73,0.06,20.12,47.74,32.07,46.44356000217069,66.56356000217069,9.194610364074197,24.17182963375511
KUR17-C001_38,72.36613,126.27272,85.2,2.1,71.62,10.33,18.81,1.25,52.48,21.51,24.76,25.40459698333047,77.88459698333047,4.913893390281601,15.951509626387928
KUR17-C001_39,72.36613,126.27272,87.2,1.8,88.5,1.14,5.14,2.92,96.8,0.17,0.11,0.16355906604721668,96.96355906604721,0.03242748719674423,0.08401344675603908
KUR17-C001_40,72.36613,126.27272,89.3,1.95,89.09,0.03,0.12,2.66,97.31,0.02,0.01,0.017964622596798957,97.3279646225968,0.003595026026079571,0.008440351377121472
KUR17-C001_41,72.36613,126.27272,91.1,1.2,96.15,,,2.67,97.32,0.01,0.0,0.006810356503514367,97.3268103565035,0.001423559818026211,0.001766083678459421
KUR17-C001_42,72.36613,126.27272,94.1,1.28,85.97,,,,,,,,,,
KUR17-C001_43,72.36613,126.27272,100.0,1.98,,,,2.67,97.26,0.07,0.01,0.0520164051143708,97.31201640511438,0.010712825116210627,0.017270769769418576
KUR17-C001_44,72.36613,126.27272,102.1,2.05,87.85,,,2.63,97.29,0.07,0.01,0.0520164051143708,97.34201640511438,0.010712825116210627,0.017270769769418576
KUR17-C002_45,72.36613,126.27272,107.8,2.08,92.88,,,2.39,97.58,0.02,0.01,0.017964622596798957,97.59796462259679,0.003595026026079571,0.008440351377121472
KUR17-C002_46,72.36613,126.27272,110.0,2.07,,,,2.43,97.53,0.04,0.01,0.03158533560382769,97.56158533560382,0.006442145662131993,0.011972518734040314
KUR17-C002_47,72.36613,126.27272,112.2,2.06,,,,2.43,97.53,0.04,0.01,0.03158533560382769,97.56158533560382,0.006442145662131993,0.011972518734040314
KUR17-C002_48,72.36613,126.27272,114.3,2.07,95.95,0.14,0.36,2.45,97.49,0.05,0.02,0.04273960169711229,97.5327396016971,0.008613611870185353,0.018646786432702366
KUR17-C002_49,72.36613,126.27272,116.6,2.09,95.19,,,2.37,97.59,0.02,0.01,0.017964622596798957,97.6079646225968,0.003595026026079571,0.008440351377121472
KUR17-C002_50,72.36613,126.27272,118.9,2.18,94.82,,,2.27,97.7,0.03,0.01,0.024774979100313323,97.72477497910032,0.005018585844105782,0.010206435055580894
KUR17-C002_51,72.36613,126.27272,121.8,1.6,96.17,,,2.19,97.76,0.04,0.02,0.035929245193597914,97.7959292451936,0.007190052052159142,0.016880702754242943
KUR17-C002_52,72.36613,126.27272,123.5,1.62,96.9,,,,,,,,,,
KUR17-C002_53,72.36613,126.27272,125.3,1.55,91.23,,,,,,,,,,
KUR17-C002_54,72.36613,126.27272,137.6,2.2,,,,3.02,96.72,0.26,0.0,0.17706926909137358,96.89706926909138,0.03701255526868149,0.04591817563994494
KUR17-C002_55,72.36613,126.27272,139.9,2.21,93.02,,,,,,,,,,
KUR17-C002_57,72.36613,126.27272,148.2,2.21,95.24,,,2.04,97.85,0.11,0.0,0.07491392153865804,97.92491392153865,0.01565915799828832,0.01942692046305363
KUR17-C002_58,72.36613,126.27272,150.5,2.23,,,,,,,,,,,
KUR17-C002_59,72.36613,126.27272,156.0,1.9,,,,2.22,97.37,0.39,0.01,0.26994781322683054,97.63994781322684,0.05626673929304938,0.07378544748012004
KUR17-C002_60,72.36613,126.27272,157.9,1.84,90.61,,,,,,,,,,
KUR17-C002_61,72.36613,126.27272,159.7,2.05,90.21,,,2.36,97.23,0.38,0.03,0.2718252759028566,97.50182527590286,0.056338992255077464,0.08183573184206588
KUR17-C002_62,72.36613,126.27272,163.9,2.67,,,,,,,,,,,
