Image slice depth [cm],"Volumetric gas content (CT, direct) [%]","Volumetric excess ice content (CT, direct) [%]","Volumetric phase A content (CT, direct) [%]","Volumetric phase B content (CT, direct) [%]"
depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr
45.29,2.075,32.781,19.828,45.315
45.295,2.089,32.727,19.68,45.503
45.3,2.125,32.63,19.501,45.743
45.305,2.15,32.459,19.46,45.931
45.31,2.199,32.271,19.417,46.113
45.315,2.222,32.222,19.231,46.325
45.32,2.233,32.166,19.123,46.478
45.325,2.244,32.098,18.88,46.777
45.33,2.271,32.022,18.704,47.003
45.335,2.311,31.867,18.579,47.243
45.34,2.339,31.721,18.465,47.476
45.345,2.359,31.659,18.312,47.67
45.35,2.384,31.564,18.175,47.876
45.355,2.396,31.526,18.022,48.055
45.36,2.414,31.513,17.92,48.154
45.365,2.409,31.577,17.744,48.27
45.37,2.423,31.584,17.55,48.443
45.375,2.436,31.616,17.336,48.613
45.38,2.45,31.593,17.235,48.722
45.385,2.437,31.644,17.171,48.748
45.39,2.429,31.659,17.122,48.79
45.395,2.42,31.838,16.815,48.926
45.4,2.406,31.906,16.661,49.027
45.405,2.379,31.974,16.531,49.117
45.41,2.353,31.99,16.496,49.161
45.415,2.336,31.989,16.523,49.153
45.42,2.324,31.878,16.649,49.148
45.425,2.322,31.763,16.652,49.263
45.43,2.288,31.786,16.663,49.263
45.435,2.241,31.727,16.729,49.304
45.44,2.205,31.681,16.763,49.351
45.445,2.186,31.619,16.806,49.39
45.45,2.177,31.538,16.856,49.429
45.455,2.176,31.445,16.993,49.385
45.46,2.181,31.43,17.068,49.321
45.465,2.178,31.48,17.173,49.169
45.47,2.166,31.512,17.285,49.037
45.475,2.158,31.504,17.465,48.873
45.48,2.148,31.493,17.648,48.71
45.485,2.123,31.553,17.691,48.632
45.49,2.105,31.503,17.841,48.552
45.495,2.088,31.586,17.792,48.534
45.5,2.062,31.654,17.857,48.427
45.505,2.028,31.728,17.851,48.393
45.51,2.032,31.806,17.773,48.39
45.515,2.053,31.964,17.493,48.49
45.52,2.067,32.207,17.23,48.496
45.525,2.071,32.404,17.084,48.441
45.53,2.092,32.49,17.091,48.328
45.535,2.125,32.551,17.055,48.269
45.54,2.155,32.585,16.985,48.275
45.545,2.206,32.533,17.081,48.179
45.55,2.259,32.5,17.023,48.218
45.555,2.33,32.595,16.826,48.248
45.56,2.415,32.665,16.729,48.19
45.565,2.481,32.782,16.63,48.107
45.57,2.543,32.922,16.526,48.009
45.575,2.595,33.008,16.432,47.965
45.58,2.622,33.092,16.432,47.854
45.585,2.601,33.253,16.498,47.647
45.59,2.599,33.344,16.504,47.552
45.595,2.62,33.438,16.53,47.412
45.6,2.639,33.604,16.523,47.235
45.605,2.64,33.777,16.529,47.055
45.61,2.635,33.987,16.641,46.738
45.615,2.653,34.152,16.616,46.579
45.62,2.678,34.369,16.593,46.361
45.625,2.696,34.535,16.622,46.147
45.63,2.763,34.68,16.58,45.977
45.635,2.85,34.908,16.371,45.871
45.64,2.9,35.146,16.221,45.733
45.645,2.941,35.434,16.039,45.585
45.65,2.934,35.73,15.963,45.372
45.655,2.957,35.926,15.956,45.161
45.66,2.993,36.032,16.053,44.923
45.665,3.006,36.107,16.133,44.754
45.67,3.034,36.236,16.151,44.58
45.675,3.074,36.443,16,44.483
45.68,3.084,36.762,15.837,44.317
45.685,3.12,37.009,15.641,44.23
45.69,3.162,37.135,15.614,44.089
45.695,3.192,37.311,15.566,43.931
45.7,3.195,37.538,15.512,43.754
45.705,3.197,37.747,15.445,43.612
45.71,3.207,37.914,15.415,43.464
45.715,3.256,38.043,15.481,43.22
45.72,3.291,38.256,15.488,42.965
45.725,3.338,38.404,15.571,42.688
45.73,3.343,38.634,15.578,42.444
45.735,3.356,38.777,15.654,42.212
45.74,3.348,38.937,15.669,42.046
45.745,3.352,39.076,15.63,41.942
45.75,3.344,39.187,15.684,41.785
45.755,3.303,39.36,15.768,41.568
45.76,3.386,39.831,15.304,41.479
45.765,3.365,40.05,15.35,41.234
45.77,3.343,40.228,15.422,41.006
45.775,3.336,40.376,15.6,40.688
45.78,3.322,40.486,15.776,40.416
45.785,3.32,40.608,15.898,40.175
45.79,3.297,40.781,15.972,39.95
45.795,3.28,40.944,16.068,39.708
45.8,3.245,41.082,16.087,39.586
45.805,3.229,41.197,15.973,39.601
45.81,3.214,41.277,15.916,39.593
45.815,3.181,41.348,16.001,39.47
45.82,3.14,41.446,16.01,39.405
45.825,3.133,41.577,15.912,39.378
45.83,3.147,41.652,15.849,39.352
45.835,3.135,41.774,15.709,39.382
45.84,3.121,41.992,15.488,39.399
45.845,3.104,42.159,15.283,39.455
45.85,3.14,42.321,14.988,39.552
45.855,3.165,42.365,14.828,39.642
45.86,3.178,42.309,14.807,39.706
45.865,3.197,42.3,14.848,39.655
45.87,3.191,42.389,14.791,39.629
45.875,3.165,42.404,14.932,39.498
45.88,3.143,42.331,15.22,39.306
45.885,3.129,42.347,15.366,39.158
45.89,3.163,42.17,15.672,38.995
45.895,3.172,42.12,15.846,38.862
45.9,3.201,42.127,15.992,38.681
45.905,3.195,42.155,16.078,38.573
45.91,3.195,42.154,16.221,38.429
45.915,3.233,42.178,16.32,38.268
45.92,3.252,42.234,16.242,38.272
45.925,3.28,42.215,16.236,38.269
45.93,3.302,42.21,16.145,38.344
45.935,3.338,42.153,16.077,38.432
45.94,3.385,42.041,16.01,38.564
45.945,3.447,41.872,15.912,38.77
45.95,3.499,41.567,16.053,38.88
45.955,3.533,41.329,16.108,39.03
45.96,3.542,41.105,16.082,39.271
45.965,3.554,40.87,16.06,39.516
45.97,3.573,40.515,16.212,39.699
45.975,3.58,40.183,16.363,39.874
45.98,3.595,39.82,16.439,40.146
45.985,3.612,39.536,16.359,40.493
45.99,3.639,39.239,16.165,40.957
45.995,3.654,39.013,16.08,41.253
46,3.639,38.815,16.255,41.29
46.005,3.596,38.695,16.425,41.284
46.01,3.546,38.679,16.423,41.351
46.015,3.505,38.598,16.575,41.321
46.02,3.471,38.486,16.594,41.45
46.025,3.418,38.296,16.743,41.543
46.03,3.37,38.043,17.01,41.577
46.035,3.331,37.823,17.152,41.694
46.04,3.292,37.668,17.086,41.954
46.045,3.255,37.44,17.099,42.206
46.05,3.259,37.343,17.006,42.392
46.055,3.246,37.265,16.849,42.64
46.06,3.244,37.129,16.844,42.783
46.065,3.23,37.086,16.721,42.964
46.07,3.218,37.051,16.415,43.317
46.075,3.197,37.041,16.103,43.658
46.08,3.168,37.176,15.781,43.875
46.085,3.157,37.316,15.478,44.049
46.09,3.138,37.386,15.226,44.251
46.095,3.158,37.441,14.907,44.493
46.1,3.199,37.479,14.715,44.608
46.105,3.224,37.512,14.702,44.562
46.11,3.218,37.531,14.694,44.557
46.115,3.239,37.632,14.508,44.621
46.12,3.254,37.732,14.304,44.71
46.125,3.264,37.925,14.158,44.653
46.13,3.279,38.162,13.947,44.611
46.135,3.274,38.341,13.994,44.391
46.14,3.265,38.493,14.142,44.101
46.145,3.244,38.595,14.291,43.87
46.15,3.211,38.683,14.445,43.661
46.155,3.23,38.829,14.534,43.406
46.16,3.259,38.981,14.502,43.257
46.165,3.309,39.003,14.59,43.097
46.17,3.324,39.051,14.738,42.887
46.175,3.36,39.206,14.818,42.616
46.18,3.398,39.298,14.938,42.366
46.185,3.432,39.401,15.108,42.058
46.19,3.49,39.647,15.18,41.682
46.195,3.527,39.81,15.388,41.274
46.2,3.521,40.06,15.537,40.882
46.205,3.534,40.274,15.636,40.556
46.21,3.561,40.509,15.708,40.222
46.215,3.614,40.697,15.748,39.941
46.22,3.658,40.951,15.72,39.672
46.225,3.681,41.319,15.656,39.344
46.23,3.707,41.674,15.699,38.921
46.235,3.731,41.942,15.769,38.558
46.24,3.767,42.312,15.643,38.278
46.245,3.787,42.732,15.556,37.925
46.25,3.78,43.081,15.654,37.484
46.255,3.779,43.472,15.746,37.003
46.26,3.761,43.849,15.944,36.446
46.265,3.745,44.222,16.223,35.811
46.27,3.746,44.575,16.461,35.218
46.275,3.725,44.906,16.673,34.697
46.28,3.718,45.256,16.866,34.161
46.285,3.702,45.605,17.142,33.55
46.29,3.697,46.036,17.211,33.057
46.295,3.703,46.348,17.386,32.562
46.3,3.721,46.467,17.616,32.195
46.305,3.717,46.555,17.793,31.935
46.31,3.713,46.687,17.83,31.77
46.315,3.75,46.758,17.831,31.661
46.32,3.767,46.827,17.821,31.585
46.325,3.785,46.732,17.865,31.617
46.33,3.786,46.605,17.942,31.668
46.335,3.776,46.557,18.036,31.631
46.34,3.734,46.518,18.237,31.511
46.345,3.706,46.38,18.653,31.262
46.35,3.667,46.294,18.958,31.081
46.355,3.647,46.243,19.098,31.012
46.36,3.634,46.083,19.199,31.083
46.365,3.62,45.866,19.327,31.187
46.37,3.58,45.847,19.176,31.397
46.375,3.525,45.782,19.068,31.625
46.38,3.45,45.725,19.004,31.822
46.385,3.391,45.53,19.062,32.017
46.39,3.358,45.415,18.974,32.252
46.395,3.354,45.323,18.771,32.553
46.4,3.345,45.129,18.767,32.76
46.405,3.343,44.866,18.771,33.02
46.41,3.341,44.617,18.797,33.245
46.415,3.353,44.307,18.848,33.493
46.42,3.338,44.115,18.874,33.673
46.425,3.289,44.1,18.73,33.88
46.43,3.223,44.117,18.7,33.96
46.435,3.198,44.039,18.618,34.145
46.44,3.152,44.027,18.57,34.252
46.445,3.077,44.014,18.538,34.371
46.45,3.002,43.809,18.741,34.447
46.455,2.93,43.66,18.83,34.579
46.46,2.868,43.553,18.839,34.739
46.465,2.794,43.411,18.882,34.913
46.47,2.755,43.27,18.907,35.068
46.475,2.702,43.138,19.005,35.155
46.48,2.657,42.927,19.193,35.224
46.485,2.628,42.722,19.374,35.276
46.49,2.586,42.546,19.517,35.351
46.495,2.489,42.4,19.676,35.436
46.5,2.411,42.153,19.947,35.488
46.505,2.349,41.908,20.041,35.702
46.51,2.298,41.723,19.948,36.031
46.515,2.281,41.558,19.839,36.323
46.52,2.253,41.429,19.804,36.514
46.525,2.246,41.3,19.741,36.713
46.53,2.24,41.111,19.655,36.994
46.535,2.238,40.723,19.814,37.225
46.54,2.22,40.37,19.857,37.553
46.545,2.198,40.041,19.853,37.909
46.55,2.199,39.624,19.946,38.23
46.555,2.204,39.179,19.988,38.629
46.56,2.183,38.889,19.951,38.977
46.565,2.173,38.548,19.979,39.3
46.57,2.153,38.3,20.032,39.515
46.575,2.148,38.07,19.975,39.808
46.58,2.123,37.879,20.017,39.98
46.585,2.096,37.708,20.035,40.16
46.59,2.074,37.564,19.961,40.401
46.595,2.034,37.481,19.809,40.676
46.6,2.02,37.458,19.708,40.814
46.605,2.008,37.529,19.482,40.981
46.61,1.977,37.626,19.262,41.134
46.615,1.937,37.672,19.22,41.171
46.62,1.91,37.73,19.263,41.097
46.625,1.884,37.79,19.335,40.991
46.63,1.84,37.911,19.401,40.849
46.635,1.789,38.136,19.447,40.627
46.64,1.764,38.36,19.407,40.47
46.645,1.755,38.467,19.417,40.361
46.65,1.749,38.605,19.352,40.294
46.655,1.749,38.778,19.147,40.325
46.66,1.759,38.859,19.072,40.31
46.665,1.761,38.887,19.098,40.254
46.67,1.743,38.873,19.263,40.121
46.675,1.729,38.996,19.283,39.992
46.68,1.699,39.264,19.054,39.983
46.685,1.67,39.551,18.841,39.937
46.69,1.664,39.855,18.612,39.869
46.695,1.667,40.142,18.45,39.741
46.7,1.675,40.445,18.309,39.572
46.705,1.673,40.751,18.136,39.441
46.71,1.683,41.026,18.057,39.235
46.715,1.699,41.26,18.049,38.993
46.72,1.72,41.447,18.187,38.646
46.725,1.735,41.773,18.188,38.303
46.73,1.765,42.035,18.181,38.019
46.735,1.771,42.369,18.104,37.755
46.74,1.788,42.738,17.984,37.49
46.745,1.799,43.143,17.764,37.294
46.75,1.805,43.46,17.684,37.052
46.755,1.796,43.835,17.531,36.838
46.76,1.825,44.085,17.495,36.595
46.765,1.846,44.306,17.566,36.282
46.77,1.856,44.669,17.493,35.983
46.775,1.847,44.966,17.496,35.691
46.78,1.852,45.238,17.476,35.434
46.785,1.864,45.478,17.388,35.269
46.79,1.886,45.71,17.23,35.175
46.795,1.906,45.833,17.266,34.995
46.8,1.914,45.909,17.352,34.825
46.805,1.912,45.901,17.535,34.652
46.81,1.901,46.029,17.552,34.518
46.815,1.869,46.184,17.54,34.407
46.82,1.861,46.404,17.465,34.27
46.825,1.847,46.588,17.49,34.076
46.83,1.838,46.757,17.467,33.938
46.835,1.836,46.833,17.559,33.772
46.84,1.805,47.053,17.546,33.596
46.845,1.785,47.251,17.502,33.463
46.85,1.757,47.429,17.398,33.415
46.855,1.753,47.473,17.377,33.398
46.86,1.765,47.569,17.161,33.505
46.865,1.757,47.707,16.755,33.781
46.87,1.741,47.894,16.346,34.018
46.875,1.737,48.031,16.037,34.195
46.88,1.707,48.209,15.84,34.244
46.885,1.663,48.382,15.627,34.329
46.89,1.63,48.585,15.35,34.435
46.895,1.621,48.676,15.325,34.378
46.9,1.623,48.779,15.234,34.363
46.905,1.613,48.916,15.155,34.316
46.91,1.609,49.17,14.863,34.359
46.915,1.621,49.368,14.609,34.402
46.92,1.649,49.546,14.448,34.357
46.925,1.668,49.802,14.205,34.325
46.93,1.68,50.218,13.824,34.277
46.935,1.681,50.586,13.58,34.152
46.94,1.707,50.792,13.432,34.068
46.945,1.732,51.03,13.299,33.938
46.95,1.756,51.333,13.127,33.785
46.955,1.8,51.604,13,33.596
46.96,1.845,51.911,12.866,33.378
46.965,1.888,52.262,12.698,33.153
46.97,1.938,52.69,12.495,32.877
46.975,1.996,53.02,12.478,32.506
46.98,2.026,53.379,12.415,32.18
46.985,2.043,53.801,12.343,31.813
46.99,2.05,54.275,12.218,31.458
46.995,2.044,54.787,12.043,31.126
47,2.081,55.244,11.924,30.751
47.005,2.113,55.699,11.762,30.426
47.01,2.154,56.172,11.62,30.055
47.015,2.169,56.723,11.474,29.634
47.02,2.18,57.264,11.436,29.121
47.025,2.201,57.824,11.392,28.583
47.03,2.222,58.406,11.334,28.038
47.035,2.241,58.975,11.321,27.464
47.04,2.275,59.601,11.153,26.972
47.045,2.324,60.129,11.019,26.528
47.05,2.374,60.706,10.731,26.188
47.055,2.397,61.267,10.475,25.861
47.06,2.401,61.904,10.183,25.512
47.065,2.411,62.516,9.874,25.2
47.07,2.436,63.083,9.556,24.925
47.075,2.466,63.544,9.345,24.644
47.08,2.478,63.988,9.172,24.362
47.085,2.497,64.426,8.955,24.121
47.09,2.526,64.87,8.843,23.761
47.095,2.545,65.385,8.691,23.378
47.1,2.552,65.934,8.511,23.002
47.105,2.566,66.528,8.249,22.657
47.11,2.598,67.044,7.963,22.394
47.115,2.626,67.468,7.785,22.12
47.12,2.658,67.747,7.719,21.876
47.125,2.709,67.943,7.662,21.686
47.13,2.737,68.103,7.598,21.563
47.135,2.716,68.295,7.452,21.537
47.14,2.686,68.47,7.337,21.507
47.145,2.689,68.533,7.218,21.56
47.15,2.696,68.579,7.139,21.586
47.155,2.692,68.555,7.241,21.512
47.16,2.705,68.55,7.269,21.477
47.165,2.713,68.638,7.187,21.462
47.17,2.717,68.815,7.097,21.37
47.175,2.694,68.973,7.055,21.278
47.18,2.663,69.21,6.923,21.204
47.185,2.629,69.443,6.893,21.035
47.19,2.617,69.669,6.878,20.836
47.195,2.598,69.906,6.83,20.666
47.2,2.579,70.19,6.682,20.548
47.205,2.569,70.47,6.537,20.424
47.21,2.557,70.731,6.47,20.243
47.215,2.534,70.895,6.49,20.081
47.22,2.518,71.024,6.555,19.904
47.225,2.496,71.22,6.603,19.681
47.23,2.491,71.468,6.56,19.482
47.235,2.484,71.733,6.54,19.243
47.24,2.477,72.003,6.449,19.071
47.245,2.462,72.233,6.354,18.951
47.25,2.448,72.431,6.182,18.939
47.255,2.454,72.594,6.059,18.892
47.26,2.453,72.685,6.145,18.716
47.265,2.465,72.809,6.212,18.514
47.27,2.505,72.948,6.142,18.405
47.275,2.511,73.117,6.078,18.295
47.28,2.516,73.217,6.078,18.19
47.285,2.513,73.272,6.123,18.091
47.29,2.519,73.29,6.099,18.091
47.295,2.498,73.322,5.972,18.208
47.3,2.506,73.24,6.019,18.235
47.305,2.497,73.206,6.01,18.286
47.31,2.508,73.205,5.98,18.308
47.315,2.509,73.261,5.862,18.369
47.32,2.499,73.363,5.757,18.382
47.325,2.499,73.527,5.627,18.346
47.33,2.514,73.74,5.424,18.322
47.335,2.544,73.919,5.258,18.279
47.34,2.581,74.045,5.174,18.2
47.345,2.611,74.229,5.091,18.069
47.35,2.643,74.364,5.095,17.898
47.355,2.647,74.533,5.072,17.747
47.36,2.623,74.629,5.168,17.579
47.365,2.612,74.739,5.201,17.448
47.37,2.61,74.793,5.197,17.401
47.375,2.586,74.867,5.091,17.456
47.38,2.562,74.962,4.918,17.558
47.385,2.55,74.989,4.872,17.588
47.39,2.539,74.974,4.844,17.643
47.395,2.523,74.982,4.752,17.742
47.4,2.519,75.011,4.623,17.848
47.405,2.512,75.014,4.565,17.91
47.41,2.502,74.987,4.502,18.009
47.415,2.479,75.048,4.458,18.015
47.42,2.474,75.101,4.466,17.959
47.425,2.463,75.196,4.509,17.832
47.43,2.445,75.318,4.519,17.718
47.435,2.444,75.481,4.49,17.585
47.44,2.452,75.609,4.547,17.392
47.445,2.472,75.725,4.583,17.22
47.45,2.502,75.879,4.526,17.093
47.455,2.53,75.977,4.525,16.968
47.46,2.548,76.096,4.422,16.934
47.465,2.557,76.093,4.466,16.883
47.47,2.561,76.17,4.47,16.798
47.475,2.562,76.312,4.424,16.701
47.48,2.548,76.447,4.36,16.646
47.485,2.554,76.554,4.364,16.528
47.49,2.553,76.727,4.286,16.434
47.495,2.576,76.935,4.211,16.278
47.5,2.579,77.197,4.118,16.106
47.505,2.589,77.351,4.099,15.961
47.51,2.593,77.536,4.032,15.84
47.515,2.603,77.693,3.947,15.757
47.52,2.626,77.768,3.914,15.692
47.525,2.623,77.894,3.891,15.593
47.53,2.628,78.028,3.869,15.475
47.535,2.638,78.184,3.825,15.352
47.54,2.633,78.368,3.763,15.236
47.545,2.644,78.537,3.714,15.105
47.55,2.658,78.726,3.723,14.893
47.555,2.676,78.99,3.691,14.643
47.56,2.686,79.243,3.681,14.39
47.565,2.7,79.479,3.634,14.187
47.57,2.718,79.702,3.574,14.006
47.575,2.731,79.92,3.497,13.852
47.58,2.725,80.191,3.415,13.669
47.585,2.74,80.449,3.278,13.533
47.59,2.757,80.659,3.209,13.374
47.595,2.779,80.807,3.187,13.228
47.6,2.803,80.924,3.215,13.059
47.605,2.797,81.039,3.232,12.932
47.61,2.787,81.124,3.282,12.807
47.615,2.775,81.205,3.2,12.82
47.62,2.766,81.222,3.205,12.807
47.625,2.739,81.231,3.244,12.785
47.63,2.733,81.146,3.354,12.767
47.635,2.719,81.002,3.534,12.746
47.64,2.707,80.922,3.619,12.752
47.645,2.7,80.879,3.651,12.771
47.65,2.693,80.789,3.751,12.767
47.655,2.678,80.714,3.802,12.807
47.66,2.676,80.632,3.858,12.834
47.665,2.685,80.528,3.899,12.888
47.67,2.711,80.414,3.934,12.94
47.675,2.729,80.315,3.996,12.96
47.68,2.721,80.244,4.092,12.943
47.685,2.683,80.225,4.175,12.917
47.69,2.646,80.21,4.305,12.838
47.695,2.632,80.237,4.394,12.736
47.7,2.616,80.294,4.479,12.611
47.705,2.595,80.357,4.563,12.485
47.71,2.584,80.403,4.633,12.379
47.715,2.558,80.453,4.701,12.288
47.72,2.527,80.493,4.802,12.178
47.725,2.514,80.493,4.856,12.137
47.73,2.5,80.442,4.951,12.107
47.735,2.508,80.385,5.049,12.058
47.74,2.51,80.369,5.107,12.014
47.745,2.531,80.38,5.165,11.925
47.75,2.544,80.42,5.25,11.786
47.755,2.551,80.454,5.363,11.632
47.76,2.541,80.533,5.412,11.515
47.765,2.54,80.611,5.375,11.473
47.77,2.539,80.569,5.492,11.4
47.775,2.553,80.441,5.676,11.33
47.78,2.573,80.371,5.715,11.341
47.785,2.606,80.277,5.763,11.354
47.79,2.608,80.161,5.878,11.353
47.795,2.612,80.079,5.96,11.349
47.8,2.597,79.915,6.167,11.321
47.805,2.574,79.773,6.307,11.346
47.81,2.556,79.617,6.419,11.408
47.815,2.512,79.493,6.53,11.466
47.82,2.483,79.352,6.687,11.478
47.825,2.494,79.179,6.909,11.418
47.83,2.512,78.987,7.072,11.429
47.835,2.538,78.881,7.083,11.498
47.84,2.527,78.725,7.223,11.526
47.845,2.485,78.614,7.29,11.612
47.85,2.489,78.459,7.363,11.69
47.855,2.48,78.249,7.473,11.798
47.86,2.448,77.999,7.65,11.903
47.865,2.418,77.67,7.93,11.982
47.87,2.394,77.379,8.17,12.057
47.875,2.357,77.164,8.354,12.125
47.88,2.32,76.946,8.526,12.208
47.885,2.287,76.745,8.694,12.274
47.89,2.267,76.55,8.845,12.337
47.895,2.246,76.287,9.06,12.407
47.9,2.22,76.023,9.321,12.436
47.905,2.172,75.897,9.401,12.529
47.91,2.145,75.771,9.409,12.676
47.915,2.142,75.595,9.414,12.849
47.92,2.126,75.446,9.441,12.987
47.925,2.104,75.255,9.551,13.09
47.93,2.08,75.201,9.499,13.22
47.935,2.07,75.143,9.493,13.294
47.94,2.069,75.019,9.624,13.288
47.945,2.072,74.922,9.698,13.308
47.95,2.056,74.826,9.793,13.325
47.955,2.047,74.68,9.932,13.341
47.96,2.05,74.545,10.04,13.364
47.965,2.05,74.471,10.19,13.289
47.97,2.017,74.428,10.377,13.177
47.975,1.995,74.385,10.588,13.033
47.98,1.99,74.335,10.782,12.893
47.985,2.006,74.282,10.907,12.805
47.99,2.014,74.189,11.088,12.709
47.995,2.033,74.042,11.238,12.686
48,2.034,73.995,11.27,12.701
48.005,2.044,73.899,11.341,12.717
48.01,2.053,73.86,11.426,12.662
48.015,2.051,73.878,11.506,12.565
48.02,2.043,73.837,11.673,12.447
48.025,2.047,73.804,11.786,12.363
48.03,2.054,73.792,11.91,12.243
48.035,2.077,73.753,12.067,12.102
48.04,2.074,73.777,12.138,12.01
48.045,2.076,73.743,12.249,11.932
48.05,2.076,73.679,12.307,11.938
48.055,2.101,73.534,12.406,11.959
48.06,2.127,73.345,12.595,11.932
48.065,2.148,73.233,12.726,11.893
48.07,2.152,73.203,12.797,11.847
48.075,2.148,73.174,12.839,11.839
48.08,2.135,73.151,12.865,11.85
48.085,2.131,73.133,12.908,11.828
48.09,2.144,72.988,13.053,11.815
48.095,2.149,72.789,13.292,11.77
48.1,2.153,72.753,13.263,11.831
48.105,2.178,72.697,13.265,11.86
48.11,2.183,72.645,13.341,11.831
48.115,2.168,72.565,13.495,11.772
48.12,2.134,72.474,13.615,11.777
48.125,2.106,72.394,13.684,11.817
48.13,2.091,72.273,13.735,11.901
48.135,2.071,72.123,13.878,11.928
48.14,2.046,71.967,14.036,11.951
48.145,2.016,71.813,14.223,11.948
48.15,1.992,71.697,14.218,12.093
48.155,1.969,71.507,14.276,12.248
48.16,1.95,71.224,14.38,12.446
48.165,1.942,70.865,14.52,12.673
48.17,1.927,70.594,14.641,12.838
48.175,1.911,70.356,14.681,13.053
48.18,1.878,70.039,14.832,13.251
48.185,1.841,69.627,15.152,13.38
48.19,1.816,69.292,15.363,13.528
48.195,1.804,68.993,15.427,13.776
48.2,1.786,68.763,15.465,13.986
48.205,1.758,68.492,15.553,14.198
48.21,1.74,68.219,15.632,14.409
48.215,1.72,67.946,15.825,14.51
48.22,1.709,67.708,15.936,14.647
48.225,1.703,67.576,15.902,14.82
48.23,1.694,67.45,15.883,14.974
48.235,1.68,67.223,15.996,15.101
48.24,1.656,67.029,16.128,15.188
48.245,1.639,66.864,16.221,15.277
48.25,1.605,66.769,16.331,15.295
48.255,1.586,66.705,16.359,15.351
48.26,1.555,66.592,16.427,15.425
48.265,1.527,66.534,16.41,15.53
48.27,1.513,66.346,16.569,15.573
48.275,1.509,66.159,16.73,15.602
48.28,1.492,66.008,16.793,15.707
48.285,1.472,65.792,16.958,15.779
48.29,1.455,65.546,17.131,15.869
48.295,1.436,65.232,17.372,15.96
48.3,1.418,64.995,17.5,16.088
48.305,1.395,64.803,17.637,16.166
48.31,1.373,64.691,17.641,16.296
48.315,1.362,64.578,17.659,16.401
48.32,1.405,64.241,17.59,16.765
48.325,1.415,64.071,17.618,16.896
48.33,1.397,63.938,17.75,16.915
48.335,1.38,63.775,17.903,16.942
48.34,1.352,63.606,18.046,16.997
48.345,1.334,63.478,18.122,17.066
48.35,1.313,63.336,18.305,17.046
48.355,1.289,63.133,18.623,16.955
48.36,1.259,62.899,18.873,16.969
48.365,1.241,62.713,18.946,17.099
48.37,1.233,62.598,18.948,17.22
48.375,1.224,62.5,18.948,17.329
48.38,1.207,62.396,18.969,17.428
48.385,1.201,62.345,18.957,17.497
48.39,1.182,62.102,19.183,17.533
48.395,1.19,61.844,19.425,17.541
48.4,1.191,61.59,19.648,17.571
48.405,1.183,61.411,19.712,17.693
48.41,1.162,61.267,19.834,17.736
48.415,1.147,61.159,19.973,17.721
48.42,1.118,61.118,20.086,17.678
48.425,1.095,61.131,20.079,17.695
48.43,1.105,60.942,20.263,17.689
48.435,1.115,60.721,20.401,17.763
48.44,1.115,60.389,20.696,17.8
48.445,1.114,60.031,20.989,17.866
48.45,1.112,59.61,21.294,17.984
48.455,1.092,59.316,21.43,18.162
48.46,1.073,58.996,21.658,18.272
48.465,1.056,58.681,21.972,18.292
48.47,1.055,58.312,22.338,18.295
48.475,1.052,58.155,22.423,18.371
48.48,1.044,58.051,22.377,18.527
48.485,1.043,57.992,22.29,18.675
48.49,1.056,57.766,22.536,18.642
48.495,1.071,57.632,22.654,18.643
48.5,1.083,57.421,22.789,18.707
48.505,1.077,57.26,22.787,18.877
48.51,1.077,57.125,22.682,19.117
48.515,1.087,56.93,22.729,19.253
48.52,1.099,56.767,22.791,19.343
48.525,1.121,56.668,22.773,19.438
48.53,1.113,56.616,22.689,19.583
48.535,1.106,56.494,22.683,19.716
48.54,1.09,56.254,22.862,19.793
48.545,1.082,56.073,23.003,19.842
48.55,1.092,55.913,23.023,19.972
48.555,1.095,55.731,23.103,20.071
48.56,1.095,55.6,23.112,20.193
48.565,1.093,55.462,23.144,20.301
48.57,1.081,55.3,23.35,20.269
48.575,1.075,55.326,23.347,20.252
48.58,1.063,55.369,23.378,20.189
48.585,1.068,55.364,23.429,20.138
48.59,1.058,55.397,23.444,20.101
48.595,1.05,55.48,23.279,20.191
48.6,1.04,55.462,23.198,20.3
48.605,1.033,55.397,23.221,20.35
48.61,1.031,55.375,23.228,20.367
48.615,1.009,55.384,23.211,20.396
48.62,0.996,55.315,23.293,20.396
48.625,1.008,55.344,23.269,20.379
48.63,1.031,55.303,23.299,20.366
48.635,1.061,55.229,23.224,20.486
48.64,1.09,55.177,23.22,20.514
48.645,1.106,55.172,23.208,20.514
48.65,1.124,55.154,23.28,20.441
48.655,1.143,55.067,23.361,20.429
48.66,1.152,55.04,23.317,20.49
48.665,1.157,55.108,23.296,20.44
48.67,1.157,55.241,23.187,20.415
48.675,1.155,55.481,22.969,20.395
48.68,1.153,55.641,22.866,20.34
48.685,1.167,55.683,22.79,20.36
48.69,1.189,55.769,22.574,20.468
48.695,1.221,55.883,22.302,20.595
48.7,1.248,55.937,22.124,20.691
48.705,1.272,56.052,21.935,20.74
48.71,1.292,56.249,21.652,20.807
48.715,1.301,56.389,21.514,20.796
48.72,1.314,56.462,21.414,20.81
48.725,1.3,56.678,21.314,20.707
48.73,1.295,56.888,21.289,20.528
48.735,1.288,57.152,21.201,20.359
48.74,1.278,57.557,20.969,20.196
48.745,1.289,57.914,20.82,19.977
48.75,1.297,58.342,20.633,19.728
