Image slice depth [cm],"Volumetric gas content (CT, direct) [%]","Volumetric excess ice content (CT, direct) [%]","Volumetric phase A content (CT, direct) [%]","Volumetric phase B content (CT, direct) [%]"
depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr
21.065,0.753,47.135,19.129,32.983
21.07,0.727,47.224,19.153,32.895
21.075,0.703,47.255,19.211,32.831
21.08,0.671,47.308,19.23,32.792
21.085,0.645,47.277,19.362,32.716
21.09,0.62,47.335,19.374,32.67
21.095,0.609,47.383,19.341,32.668
21.1,0.604,47.418,19.293,32.685
21.105,0.606,47.424,19.268,32.702
21.11,0.617,47.444,19.264,32.675
21.115,0.62,47.463,19.282,32.635
21.12,0.629,47.503,19.352,32.516
21.125,0.631,47.674,19.441,32.254
21.13,0.632,47.933,19.489,31.946
21.135,0.622,48.26,19.545,31.572
21.14,0.63,48.608,19.654,31.108
21.145,0.628,48.99,19.665,30.718
21.15,0.632,49.3,19.64,30.428
21.155,0.642,49.631,19.483,30.244
21.16,0.655,49.799,19.472,30.074
21.165,0.67,50.001,19.388,29.941
21.17,0.67,50.245,19.251,29.834
21.175,0.655,50.544,19.135,29.666
21.18,0.653,50.728,19.083,29.536
21.185,0.652,50.878,19.066,29.403
21.19,0.649,51.014,19.098,29.239
21.195,0.645,51.035,19.197,29.123
21.2,0.637,51.158,19.154,29.051
21.205,0.638,51.29,19.057,29.015
21.21,0.633,51.374,18.957,29.035
21.215,0.645,51.334,18.928,29.093
21.22,0.651,51.294,18.931,29.123
21.225,0.654,51.253,18.929,29.163
21.23,0.662,51.131,18.909,29.298
21.235,0.666,51.03,18.864,29.44
21.24,0.659,50.952,18.934,29.456
21.245,0.652,50.856,19.019,29.473
21.25,0.647,50.822,19.187,29.344
21.255,0.647,50.917,19.3,29.136
21.26,0.645,51.177,19.307,28.871
21.265,0.645,51.447,19.362,28.546
21.27,0.636,51.768,19.47,28.126
21.275,0.625,52.092,19.692,27.592
21.28,0.619,52.467,19.846,27.067
21.285,0.606,52.873,19.91,26.611
21.29,0.603,53.224,20.011,26.162
21.295,0.601,53.581,20.05,25.768
21.3,0.61,53.938,19.978,25.475
21.305,0.629,54.267,19.955,25.149
21.31,0.641,54.566,19.935,24.858
21.315,0.648,54.782,20.055,24.515
21.32,0.648,54.979,20.156,24.218
21.325,0.657,54.959,20.439,23.945
21.33,0.658,55.026,20.547,23.77
21.335,0.664,55.14,20.654,23.542
21.34,0.67,55.299,20.628,23.403
21.345,0.671,55.351,20.652,23.325
21.35,0.672,55.411,20.563,23.353
21.355,0.668,55.439,20.504,23.389
21.36,0.672,55.489,20.46,23.378
21.365,0.67,55.518,20.445,23.367
21.37,0.672,55.428,20.528,23.372
21.375,0.67,55.41,20.599,23.321
21.38,0.666,55.379,20.6,23.355
21.385,0.661,55.378,20.551,23.41
21.39,0.654,55.409,20.494,23.443
21.395,0.628,55.432,20.433,23.507
21.4,0.608,55.454,20.249,23.688
21.405,0.595,55.426,20.051,23.928
21.41,0.592,55.316,20.031,24.062
21.415,0.597,55.184,19.986,24.233
21.42,0.597,55.058,19.927,24.418
21.425,0.598,55.016,19.758,24.628
21.43,0.589,55.062,19.487,24.862
21.435,0.582,55.089,19.336,24.992
21.44,0.578,55.038,19.33,25.054
21.445,0.569,55.042,19.272,25.117
21.45,0.557,55.111,19.2,25.132
21.455,0.549,55.206,19.093,25.152
21.46,0.538,55.309,18.988,25.165
21.465,0.531,55.326,18.925,25.219
21.47,0.517,55.39,18.849,25.244
21.475,0.502,55.465,18.802,25.231
21.48,0.491,55.546,18.739,25.224
21.485,0.48,55.648,18.699,25.173
21.49,0.461,55.768,18.664,25.107
21.495,0.433,55.88,18.616,25.07
21.5,0.403,55.959,18.588,25.049
21.505,0.378,56.151,18.437,25.034
21.51,0.362,56.278,18.263,25.097
21.515,0.361,56.336,18.149,25.154
21.52,0.353,56.342,18.111,25.193
21.525,0.349,56.284,18.14,25.227
21.53,0.339,56.337,18.079,25.245
21.535,0.335,56.369,18.095,25.202
21.54,0.324,56.405,18.139,25.132
21.545,0.324,56.335,18.203,25.138
21.55,0.327,56.22,18.303,25.15
21.555,0.327,56.233,18.184,25.256
21.56,0.324,56.315,18.001,25.36
21.565,0.32,56.31,17.985,25.385
21.57,0.308,56.308,18.008,25.376
21.575,0.292,56.311,18.11,25.287
21.58,0.279,56.377,18.079,25.264
21.585,0.285,56.438,18.086,25.191
21.59,0.28,56.514,18.095,25.11
21.595,0.278,56.507,18.186,25.03
21.6,0.275,56.533,18.272,24.92
21.605,0.274,56.629,18.287,24.811
21.61,0.275,56.713,18.253,24.759
21.615,0.276,56.767,18.292,24.665
21.62,0.284,56.725,18.391,24.6
21.625,0.285,56.665,18.477,24.574
21.63,0.29,56.669,18.439,24.603
21.635,0.295,56.604,18.459,24.643
21.64,0.295,56.433,18.604,24.668
21.645,0.296,56.354,18.609,24.741
21.65,0.299,56.196,18.644,24.86
21.655,0.303,56.039,18.755,24.904
21.66,0.299,55.972,18.751,24.978
21.665,0.297,55.914,18.766,25.024
21.67,0.297,55.845,18.86,24.998
21.675,0.295,55.823,18.967,24.915
21.68,0.299,55.761,19.047,24.893
21.685,0.297,55.641,19.13,24.932
21.69,0.289,55.525,19.247,24.939
21.695,0.288,55.375,19.315,25.022
21.7,0.29,55.274,19.308,25.127
21.705,0.294,55.23,19.234,25.243
21.71,0.295,55.175,19.265,25.264
21.715,0.302,55.13,19.207,25.361
21.72,0.303,55.018,19.262,25.417
21.725,0.303,54.881,19.391,25.425
21.73,0.302,54.734,19.545,25.419
21.735,0.311,54.531,19.707,25.451
21.74,0.32,54.326,19.77,25.584
21.745,0.322,54.167,19.767,25.744
21.75,0.312,54.049,19.787,25.852
21.755,0.313,53.906,19.809,25.972
21.76,0.313,53.78,19.816,26.091
21.765,0.315,53.538,19.946,26.201
21.77,0.325,53.255,20.063,26.357
21.775,0.325,53.013,20.158,26.505
21.78,0.319,52.914,20.083,26.684
21.785,0.306,52.726,20.098,26.87
21.79,0.293,52.485,20.04,27.182
21.795,0.288,52.221,20.018,27.474
21.8,0.288,51.86,20.107,27.746
21.805,0.274,51.648,20.012,28.065
21.81,0.262,51.382,20.027,28.33
21.815,0.253,51.151,20.052,28.543
21.82,0.242,50.978,19.987,28.792
21.825,0.224,50.802,19.898,29.075
21.83,0.212,50.625,19.938,29.225
21.835,0.209,50.591,19.847,29.352
21.84,0.2,50.544,19.739,29.517
21.845,0.194,50.461,19.739,29.607
21.85,0.191,50.354,19.857,29.598
21.855,0.19,50.2,19.962,29.648
21.86,0.182,49.965,20.062,29.791
21.865,0.18,49.664,20.242,29.914
21.87,0.18,49.386,20.365,30.069
21.875,0.183,49.149,20.487,30.181
21.88,0.183,48.985,20.564,30.268
21.885,0.182,48.822,20.618,30.378
21.89,0.17,48.738,20.59,30.502
21.895,0.152,48.64,20.631,30.578
21.9,0.142,48.641,20.567,30.65
21.905,0.144,48.683,20.435,30.737
21.91,0.139,48.657,20.393,30.812
21.915,0.13,48.614,20.338,30.919
21.92,0.127,48.58,20.231,31.063
21.925,0.125,48.535,20.156,31.184
21.93,0.13,48.45,20.205,31.215
21.935,0.131,48.35,20.242,31.277
21.94,0.131,48.218,20.234,31.418
21.945,0.128,48.183,20.188,31.502
21.95,0.125,48.005,20.462,31.409
21.955,0.12,47.808,20.696,31.376
21.96,0.119,47.679,20.814,31.388
21.965,0.111,47.602,20.79,31.496
21.97,0.103,47.579,20.811,31.507
21.975,0.092,47.537,20.91,31.461
21.98,0.084,47.443,21.117,31.356
21.985,0.088,47.299,21.435,31.179
21.99,0.09,47.256,21.584,31.069
21.995,0.095,47.302,21.659,30.944
22,0.099,47.301,21.786,30.814
22.005,0.107,47.337,21.823,30.733
22.01,0.112,47.479,21.666,30.742
22.015,0.118,47.604,21.554,30.724
22.02,0.12,47.762,21.514,30.604
22.025,0.12,48.019,21.431,30.429
22.03,0.11,48.381,21.252,30.258
22.035,0.098,48.637,21.24,30.025
22.04,0.097,48.898,21.173,29.833
22.045,0.105,49.172,21.02,29.703
22.05,0.108,49.413,20.982,29.497
22.055,0.115,49.64,20.93,29.315
22.06,0.124,49.822,20.916,29.138
22.065,0.138,49.968,20.983,28.911
22.07,0.152,50.145,20.993,28.709
22.075,0.158,50.381,20.94,28.52
22.08,0.16,50.577,20.974,28.29
22.085,0.157,50.774,20.913,28.156
22.09,0.149,50.908,20.907,28.036
22.095,0.145,51.025,20.991,27.839
22.1,0.145,51.116,21.071,27.668
22.105,0.147,51.199,21.15,27.505
22.11,0.141,51.372,21.004,27.483
22.115,0.13,51.564,20.805,27.502
22.12,0.116,51.679,20.657,27.548
22.125,0.11,51.794,20.478,27.617
22.13,0.117,51.731,20.407,27.746
22.135,0.125,51.559,20.381,27.935
22.14,0.134,51.327,20.348,28.191
22.145,0.149,51.07,20.329,28.452
22.15,0.155,50.877,20.249,28.719
22.155,0.159,50.737,20.108,28.996
22.16,0.166,50.528,20.107,29.199
22.165,0.166,50.238,20.235,29.361
22.17,0.156,49.985,20.318,29.541
22.175,0.153,49.775,20.353,29.718
22.18,0.154,49.597,20.46,29.79
22.185,0.159,49.382,20.609,29.85
22.19,0.174,49.143,20.724,29.958
22.195,0.197,49.009,20.591,30.203
22.2,0.205,48.958,20.385,30.453
22.205,0.215,48.794,20.314,30.678
22.21,0.227,48.464,20.39,30.919
